                 res               x                y               z
            31.72004        38.43343        823.72906     -1880.81738
           164.37889       368.07507        461.15601     -1992.41272
            63.04863       172.57599        526.55963     -1942.19897
             6.10975       341.67004       -344.24667      -701.26917
            50.23198        47.29969         47.99350     -2118.14600
             2.10805        28.62609       1031.15479     -1122.05200
            67.57990       108.46053       -116.63138     -1966.20142
             9.98279        69.18279       -666.02740      -588.11487
            26.80174        79.91206       -942.83771     -1981.67175
           258.02765       379.18460        306.24091     -2067.58740
            22.42586       296.11194      -1016.49738     -1964.46509
            11.15098        33.81333        925.95844     -1839.39258
            35.91043        29.90542        445.53448     -1867.47754
             4.93480        60.98048       1290.13623      -813.79053
            21.18506       219.67606      -1085.45312     -1955.12854
            31.41779       300.79935        964.48193     -1753.66125
            69.00439       137.23560       1459.37219     -1743.14038
            56.51678       318.85544      -1706.48901     -1729.92065
            48.59795       165.03677       1339.85852     -1712.59436
            11.39530       319.72592        434.63089     -1005.30829
            32.83280       204.47513       -838.42310     -1881.36108
            68.40678       294.48273      -1902.32141     -1525.93103
            84.28281       185.03064       -189.15547     -1878.90344
            24.88092       216.79947       1074.88635       460.74091
            30.15699        39.09447       -854.63153     -2034.22803
            48.78349        91.84239      -1517.75452     -1887.84521
            57.85380        69.95090         67.68863     -2054.16943
            33.44182       297.40527        823.72205     -1695.27002
            26.30909       166.00296       -911.76801     -1944.43970
            21.12634       260.98557      -1034.67969     -1957.73840
           146.67012       175.40857       -136.81357     -1993.51196
            23.80867       259.80200       1136.14380     -1806.60205
            40.77148       306.40958      -1126.75867     -1323.21619
             2.28354       162.51816       1269.97668     -1330.98853
            43.50910        37.78888       1492.01794     -1735.41895
            16.08621       110.23599      -1977.12744     -1464.26721
            43.48080       398.00235      -1450.52808     -1896.02661
            40.18184       183.47937       1448.70984       999.41565
           317.09256       305.77307       -389.79303     -1931.64661
            67.45396        92.02901        510.08185     -1931.04248
             7.92051       121.53109        601.14844     -1707.43506
            27.77277       199.17500        655.99030     -1778.37732
           294.82248       196.23293       -367.45361     -2107.46582
            30.94932       204.66989       -975.45221     -1825.02026
            35.66145       201.22801      -1334.27747     -1985.28210
           104.91093       305.15585        623.25519     -1953.36157
            38.29430        29.34896        630.61774     -1882.67871
             2.40345       238.62776      -1431.86169       179.43341
            31.58601       133.32471       -787.22400     -1856.80676
            33.55400        52.64549        609.77338     -1838.81860
            19.15204        89.07625         95.47878     -1672.41602
            63.86084       203.88063       1440.50916     -1739.02832
            39.24555       164.27115      -1090.46680     -1614.60864
            85.25883       392.98206      -1366.70239     -1286.97461
           128.50835       360.90308       -188.02208     -1817.33752
            36.19489       235.27470      -1112.85864     -1684.87256
            21.20143       203.12341      -1022.98938     -1967.50903
            33.43254       124.86997       -788.89056     -1986.50085
            17.54509       230.38870       1840.71411     -1654.52039
            38.63794       131.49379        897.06915     -1774.18970
            35.61924        73.33577        108.41658     -1726.65662
            51.78149       334.79172      -1578.16370      -904.92719
            24.29478        54.80149       -948.08496     -2002.30444
            21.41745       345.40860       1451.82251         3.34545
            87.79051       214.44289       1501.01428     -1706.30481
            31.75680        94.82353        846.18500     -1782.17114
           103.30244       148.20242        813.55676     -1888.75574
            14.81143       176.70505       1019.82281     -1777.11609
            41.96061       387.75107      -1390.48181     -1768.07739
           488.06464       386.78003       -406.87778     -2047.04163
             6.10975       369.06342        -93.60121      -770.36084
           211.83977       374.56003        339.97156     -2069.20508
            24.50739       176.38684        796.64178     -1705.09509
            40.19540       319.14703        481.25769     -1851.38135
            51.38890        56.63921         63.88755     -2111.85010
           155.52939       233.88411       -111.76688     -2084.94409
            49.31105       382.67841      -1514.71765     -1726.24097
             3.77933       391.95923       1835.67188      -561.78961
            39.11551       172.67514       -797.34399     -1986.77014
             4.37182       162.21684        857.65625     -1305.52002
             7.90335       251.60947        447.19067     -1474.94702
           193.33261       398.50031        511.49551     -1995.50598
            83.09396         9.84357       -593.04077     -2090.83594
            66.33438        13.57705        573.62976     -1977.32617
            45.89825       129.87848      -1406.75708     -1834.67554
            20.47675         1.75788       1478.28992     -1729.59094
            26.72607       275.83487        258.38544     -1747.44324
             8.72550       255.70908        753.32245     -1524.24036
            40.77148       184.59959      -1091.92334     -1273.96008
           255.47090       358.84140       -370.10190     -1834.61926
           171.61368       117.38872       -249.64169     -1905.35352
            72.53387        98.81962       -377.82074     -1825.08447
            39.62760        86.40010      -1117.54321     -1840.34277
            31.56619        11.14419        -10.97208     -2122.56128
           133.88390       183.17697         85.70511     -2043.05383
            44.29947       291.03290      -1519.45386     -1936.48218
             2.36048       114.93112       1938.56677     -1101.82178
           148.81929       144.88135       -453.30304     -2126.75732
             2.28354       178.12102       1277.47241     -1223.78430
           102.15473         4.63099        379.35468     -2046.09363
           110.56669        48.88383       -154.28735     -2080.97168
            77.07407       332.49658      -1613.06580     -1494.15137
            54.19132       226.69287        922.80634     -1808.35449
            84.05645        40.55251       -307.09698     -1866.63257
            28.98673        84.83517      -1009.48273     -1888.97864
            43.49440       140.44156       -609.60583     -1941.79248
           232.26773       319.19925        320.65228     -2011.08679
            10.45157       359.00998        260.00601      -584.31494
            30.26486       106.14299       -827.90222     -1951.91956
             7.92051       154.81398        543.26831     -1716.09326
            31.09551        97.01759       -869.46790     -2022.68201
            26.11566       234.34441       -682.93231     -1499.24487
           294.82248       215.27896       -395.68250     -2083.76685
            40.77148       327.80542      -1254.81567     -1330.16431
            60.95720       208.17329      -1438.20337     -1579.80066
            27.00255       298.05801       -886.91467     -1481.87219
             3.80250       210.38403       -969.75696      -396.11911
            56.58727       308.73471      -1668.96313     -1856.63464
             1.75547       119.93101       -417.75018       -12.57953
            62.93496        59.10402       1622.86401     -1737.51343
            30.68367       122.66402       -813.86005     -1690.30139
            85.51095       225.51562        -22.60678     -2100.86035
            36.54682        57.73865       1377.69824     -1733.68115
           258.02765       378.85291        243.43335     -2030.83716
            29.75130       235.92151       -894.11475     -1915.65381
            11.76401         2.47808       1517.61450     -1624.78455
           294.82248       183.91705       -369.67371     -2138.46484
            19.29080       361.33777      -1799.62451      -154.76622
            52.90853       300.65720      -1851.58936     -1718.11426
            12.96051       184.00345       1138.82983     -1820.51074
            38.10776        96.19970       -283.16757     -1671.17554
            17.94215       325.88232        545.30719     -1766.52930
            39.13137        72.45061      -1006.44885     -1781.77551
            47.19208        85.62168        692.98608     -1871.69409
            70.67377        40.68247        112.57263     -1913.41846
            24.32392       151.87444       1843.67456     -1656.53174
            35.57788       109.29858       -953.72314     -1802.84082
            31.57402       328.72400       -374.97693     -1443.32520
            10.42890       200.09924       1934.96924     -1618.56335
            30.63645       213.42393       -856.71533     -1934.36426
            53.66047        12.02561        612.73871     -1935.52100
            30.68603       337.83008       -855.90826     -1626.01709
             2.68000       288.50412       1182.24658     -1357.92419
            40.34373       146.15540       1572.72815     -1546.24023
             8.61951       116.67181        733.27594     -1510.68579
            39.04859       130.73721      -1166.86487     -1856.90845
           400.84052       269.32190       -215.19904     -1994.91907
           260.04684       117.54258       -276.62607     -2022.57288
           410.55267       290.17792       -381.57089     -2100.37842
            31.41779       248.17795        925.27618     -1692.54248
            31.45169       282.74719       -899.93304     -1738.16479
            50.42208       301.52090       -223.94267     -1643.47803
             6.15304         5.94437        849.70282     -1585.10913
           142.93634       256.26077        750.75464     -1896.99414
             4.35550       176.85361       1851.16040     -1235.38245
            12.96051        51.68096       1094.13562     -1804.01282
            48.78349        48.61157      -1577.22034     -1894.05359
            41.26135       370.35226      -1417.47070     -1978.38086
            46.18417       136.43970      -1430.82324     -1946.69641
            50.10656       253.74338      -1659.86597     -1835.45947
           405.66385       372.31216       -429.74765     -1982.84167
             9.33928       263.17899        259.63922     -1686.67297
            34.87640        32.42347        694.45709     -1909.00000
           169.75742        12.14100        286.58173     -2069.80615
            38.33248       196.34024      -1758.76025     -1682.49341
            65.69860       157.17697      -1441.28198     -1108.71704
            23.96281       137.51874       -509.40625     -1339.98193
            23.79087       162.76610       1811.28467     -1664.68054
             6.82873       230.33124        230.16219       669.63269
            85.51095       216.22810         12.17164     -2099.21069
            39.24555       161.27148      -1195.99170     -1678.52612
           434.61057       272.94293       -256.16327     -2086.02368
            15.08395       270.86716       1556.71289      -222.93431
           170.93504        81.44426        141.64911     -2025.21289
             6.14086       294.06415        879.35944     -1051.79675
            27.06913       341.98523      -1048.96692     -1947.24426
             6.87349       151.81970       1629.09863     -1284.00684
            16.40265       252.37183      -1973.53662     -1799.29736
            46.12234       110.83934      -1611.92859     -1845.04883
             4.00083       286.53711        -16.30970      -421.75320
            37.33426        81.05303       1757.13501     -1625.95288
            10.81822        48.77857        528.38422     -1612.24902
           531.19971       338.84888       -283.86560     -2098.05127
             5.95868        65.17208        829.11475     -1648.90796
            27.07635       109.63926      -1135.15796     -1950.90955
            49.83991       138.05237        342.92294     -1920.89307
           232.26773       341.68747        292.46417     -2068.07593
            36.51960       213.63417        578.30609     -1867.62866
            35.92039       234.98761       1456.75024     -1594.45813
            25.99779       123.50661       -967.07672     -1929.47461
            30.68367       221.88336       -802.01569     -1714.71521
            91.62044       162.45041        765.75385     -1905.73462
            26.72607       317.30978        227.31610     -1737.81238
             2.83256        82.87140       1298.06494     -1448.52039
             7.43853       304.84344        581.76337     -1587.74280
           502.72183       368.06784       -320.40500     -2057.30176
