x y 
2286 -1562
1686 -1412
1836 -1412
1986 -1412
2136 -1412
2286 -1412
2436 -1412
2586 -1412
2736 -1412
2886 -1412
1386 -1262
1536 -1262
1686 -1262
1836 -1262
1986 -1262
2136 -1262
2286 -1262
2436 -1262
2586 -1262
2736 -1262
2886 -1262
3036 -1262
3186 -1262
1236 -1112
1386 -1112
1536 -1112
1686 -1112
1836 -1112
1986 -1112
2136 -1112
2286 -1112
2436 -1112
2586 -1112
2736 -1112
2886 -1112
3036 -1112
3186 -1112
3336 -1112
1086 -962
1236 -962
1386 -962
1536 -962
1686 -962
1836 -962
1986 -962
2136 -962
2286 -962
2436 -962
2586 -962
2736 -962
2886 -962
3036 -962
3186 -962
3336 -962
3486 -962
1086 -812
1236 -812
1386 -812
1536 -812
1686 -812
1836 -812
1986 -812
2136 -812
2286 -812
2436 -812
2586 -812
2736 -812
2886 -812
3036 -812
3186 -812
3336 -812
3486 -812
936 -662
1086 -662
1236 -662
1386 -662
1536 -662
1686 -662
1836 -662
1986 -662
2136 -662
2286 -662
2436 -662
2586 -662
2736 -662
2886 -662
3036 -662
3186 -662
3336 -662
3486 -662
3636 -662
936 -512
1086 -512
1236 -512
1386 -512
1536 -512
1686 -512
1836 -512
1986 -512
2136 -512
2286 -512
2436 -512
2586 -512
2736 -512
2886 -512
3036 -512
3186 -512
3336 -512
3486 -512
3636 -512
786 -362
936 -362
1086 -362
1236 -362
1386 -362
1536 -362
1686 -362
1836 -362
1986 -362
2136 -362
2286 -362
2436 -362
2586 -362
2736 -362
2886 -362
3036 -362
3186 -362
3336 -362
3486 -362
3636 -362
3786 -362
786 -212
936 -212
1086 -212
1236 -212
1386 -212
1536 -212
1686 -212
1836 -212
1986 -212
2136 -212
2286 -212
2436 -212
2586 -212
2736 -212
2886 -212
3036 -212
3186 -212
3336 -212
3486 -212
3636 -212
3786 -212
786 -62
936 -62
1086 -62
1236 -62
1386 -62
1536 -62
1686 -62
1836 -62
1986 -62
2136 -62
2286 -62
2436 -62
2586 -62
2736 -62
2886 -62
3036 -62
3186 -62
3336 -62
3486 -62
3636 -62
3786 -62
786 88
936 88
1086 88
1236 88
1386 88
1536 88
1686 88
1836 88
1986 88
2136 88
2286 88
2436 88
2586 88
2736 88
2886 88
3036 88
3186 88
3336 88
3486 88
3636 88
3786 88
786 238
936 238
1086 238
1236 238
1386 238
1536 238
1686 238
1836 238
1986 238
2136 238
2286 238
2436 238
2586 238
2736 238
2886 238
3036 238
3186 238
3336 238
3486 238
3636 238
3786 238
936 388
1086 388
1236 388
1386 388
1536 388
1686 388
1836 388
1986 388
2136 388
2286 388
2436 388
2586 388
2736 388
2886 388
3036 388
3186 388
3336 388
3486 388
3636 388
936 538
1086 538
1236 538
1386 538
1536 538
1686 538
1836 538
1986 538
2136 538
2286 538
2436 538
2586 538
2736 538
2886 538
3036 538
3186 538
3336 538
3486 538
3636 538
1086 688
1236 688
1386 688
1536 688
1686 688
1836 688
1986 688
2136 688
2286 688
2436 688
2586 688
2736 688
2886 688
3036 688
3186 688
3336 688
3486 688
1086 838
1236 838
1386 838
1536 838
1686 838
1836 838
1986 838
2136 838
2286 838
2436 838
2586 838
2736 838
2886 838
3036 838
3186 838
3336 838
3486 838
1236 988
1386 988
1536 988
1686 988
1836 988
1986 988
2136 988
2286 988
2436 988
2586 988
2736 988
2886 988
3036 988
3186 988
3336 988
1386 1138
1536 1138
1686 1138
1836 1138
1986 1138
2136 1138
2286 1138
2436 1138
2586 1138
2736 1138
2886 1138
3036 1138
3186 1138
1686 1288
1836 1288
1986 1288
2136 1288
2286 1288
2436 1288
2586 1288
2736 1288
2886 1288
2286 1438
