         x          y
  1000.000  -2000.000
   200.000  -1800.000
   400.000  -1800.000
   600.000  -1800.000
   800.000  -1800.000
  1000.000  -1800.000
  1200.000  -1800.000
  1400.000  -1800.000
  1600.000  -1800.000
  1800.000  -1800.000
  -200.000  -1600.000
     0.000  -1600.000
   200.000  -1600.000
   400.000  -1600.000
   600.000  -1600.000
   800.000  -1600.000
  1000.000  -1600.000
  1200.000  -1600.000
  1400.000  -1600.000
  1600.000  -1600.000
  1800.000  -1600.000
  2000.000  -1600.000
  2200.000  -1600.000
  -400.000  -1400.000
  -200.000  -1400.000
     0.000  -1400.000
   200.000  -1400.000
   400.000  -1400.000
   600.000  -1400.000
   800.000  -1400.000
  1000.000  -1400.000
  1200.000  -1400.000
  1400.000  -1400.000
  1600.000  -1400.000
  1800.000  -1400.000
  2000.000  -1400.000
  2200.000  -1400.000
  2400.000  -1400.000
  -600.000  -1200.000
  -400.000  -1200.000
  -200.000  -1200.000
     0.000  -1200.000
   200.000  -1200.000
   400.000  -1200.000
   600.000  -1200.000
   800.000  -1200.000
  1000.000  -1200.000
  1200.000  -1200.000
  1400.000  -1200.000
  1600.000  -1200.000
  1800.000  -1200.000
  2000.000  -1200.000
  2200.000  -1200.000
  2400.000  -1200.000
  2600.000  -1200.000
  -600.000  -1000.000
  -400.000  -1000.000
  -200.000  -1000.000
     0.000  -1000.000
   200.000  -1000.000
   400.000  -1000.000
   600.000  -1000.000
   800.000  -1000.000
  1000.000  -1000.000
  1200.000  -1000.000
  1400.000  -1000.000
  1600.000  -1000.000
  1800.000  -1000.000
  2000.000  -1000.000
  2200.000  -1000.000
  2400.000  -1000.000
  2600.000  -1000.000
  -800.000   -800.000
  -600.000   -800.000
  -400.000   -800.000
  -200.000   -800.000
     0.000   -800.000
   200.000   -800.000
   400.000   -800.000
   600.000   -800.000
   800.000   -800.000
  1000.000   -800.000
  1200.000   -800.000
  1400.000   -800.000
  1600.000   -800.000
  1800.000   -800.000
  2000.000   -800.000
  2200.000   -800.000
  2400.000   -800.000
  2600.000   -800.000
  2800.000   -800.000
  -800.000   -600.000
  -600.000   -600.000
  -400.000   -600.000
  -200.000   -600.000
     0.000   -600.000
   200.000   -600.000
   400.000   -600.000
   600.000   -600.000
   800.000   -600.000
